  "arch": "1024-1024",
  "offline_ratio": 1.0,
average_return                       6.87404
average_return                       6.88415
average_return                       6.87925
average_return                       6.87293
average_return                       6.87064
average_return                       6.86571
average_return                       6.88031
average_return                       6.88368
average_return                       6.88094
average_return                       6.86828
average_return                       6.86848
average_return                       6.87301
average_return                       6.88221
average_return                       6.8882
average_return                       6.86998
average_return                       6.86714
average_return                       6.8705
average_return                       6.87531
average_return                       6.87705
average_return                       6.87019
average_return                       6.87969
average_return                       6.87049
average_return                       6.86578
average_return                       6.87873
average_return                       6.87496
average_return                       6.87493
average_return                       6.87158
average_return                       6.88009
average_return                       6.86589
average_return                       6.86246
average_return                       6.87756
average_return                       6.85689
average_return                       6.86032
average_return                       6.86677
average_return                       6.86789
average_return                       6.87323
average_return                       6.86261
average_return                       6.85697
average_return                       6.86715
average_return                       6.85654
average_return                       6.87022
average_return                       6.85636
average_return                       6.87134
average_return                       6.85005
average_return                       6.87981
average_return                       6.86288
average_return                       6.85148
average_return                       6.86341
average_return                       6.85424
average_return                       6.87503
average_return                       6.8694
average_return                       6.86982
average_return                       6.87231
average_return                       6.87322
average_return                       6.88157
average_return                       6.8692
average_return                       6.86584
average_return                       6.86405
average_return                       6.86151
average_return                       6.87054
average_return                       6.85512
average_return                       6.87015
average_return                       6.85243
average_return                       6.85138
average_return                       6.86172
average_return                       6.87559
average_return                       6.87286
average_return                       6.86707
average_return                       6.86233
average_return                       6.87326
average_return                       6.85899
average_return                       6.85681
average_return                       6.86367
average_return                       6.86264
average_return                       6.86088
average_return                       6.8635
average_return                       6.87612
average_return                       6.86163
average_return                       6.86804
average_return                       6.86094
average_return                       6.85331
average_return                       6.86861
average_return                       6.85721
average_return                       6.87946
average_return                       6.84883
average_return                       6.86752
average_return                       6.87056
average_return                       6.86115
average_return                       6.87573
average_return                       6.86458
average_return                       6.86509
average_return                       6.85216
average_return                       6.85755
average_return                       6.86917
average_return                       6.86523
average_return                       6.85886
average_return                       6.85931
average_return                       6.86579
average_return                       6.86037
average_return                       6.86648
average_return                       6.8813
average_return                       6.8645
average_return                       6.87178
average_return                       6.8686
average_return                       6.87837
average_return                       6.86245
average_return                       6.86548
average_return                       6.87443
average_return                       6.86607
average_return                       6.87849
average_return                       6.87631
average_return                       6.87968
average_return                       6.87626
average_return                       6.8572
average_return                       6.86531
average_return                       6.86784
average_return                       6.87289
average_return                       6.87576
average_return                       6.87098
average_return                       6.87649
average_return                       6.87962
average_return                       6.86754
average_return                       6.86838
average_return                       6.8704
average_return                       6.88616
average_return                       6.87917
average_return                       6.85475
average_return                       6.86737
average_return                       6.86756
average_return                       6.87019
average_return                       6.88712
average_return                       6.87701
average_return                       6.88115
average_return                       6.88344
average_return                       6.8643
average_return                       6.87588
average_return                       6.87821
average_return                       6.87431
average_return                       6.88801
average_return                       6.89458
average_return                       6.8894
average_return                       6.8783
average_return                       6.89151
average_return                       6.87518
average_return                       6.89265
average_return                       6.90175
average_return                       6.89444
average_return                       6.89373
average_return                       6.91145
average_return                       6.89607
average_return                       6.89606
average_return                       6.90931
average_return                       6.89351
average_return                       6.89565
average_return                       6.92018
average_return                       6.9203
average_return                       6.90711
average_return                       6.93295
average_return                       6.90494
average_return                       6.93773
average_return                       6.93846
average_return                       6.94363
average_return                       6.9292
average_return                       6.95167
average_return                       6.93425
average_return                       6.9537
average_return                       6.93862
average_return                       6.96582
average_return                       6.97296
average_return                       7.01394
average_return                       6.97943
average_return                       7.12125
average_return                       7.22384
average_return                       7.14565
average_return                       7.12589
average_return                       7.20557
average_return                       7.32652
average_return                       7.26733
average_return                       7.37776
average_return                       7.2978
average_return                       7.29697
average_return                       7.52669
average_return                       7.6148
average_return                       7.69856
average_return                       7.87878
average_return                       7.93832
average_return                       7.97371
average_return                       8.09642
average_return                       8.1086
average_return                       8.11218
average_return                       8.13093
average_return                       8.15345
average_return                       8.17807
average_return                       8.16354
average_return                       8.18487
average_return                       8.19059
average_return                       8.2015
average_return                       8.20795
average_return                       8.22286
average_return                       8.22745
average_return                       8.23216
average_return                       8.23983
average_return                       8.24202
average_return                       8.253
average_return                       8.26024
average_return                       8.27492
average_return                       8.28189
average_return                       8.29004
average_return                       8.29727
average_return                       8.30359
average_return                       8.30753
average_return                       8.31336
average_return                       8.32755
average_return                       8.33667
average_return                       8.34837
average_return                       8.35914
average_return                       8.3726
average_return                       8.37832
average_return                       8.3922
average_return                       8.39951
average_return                       8.41117
average_return                       8.41684
average_return                       8.42306
average_return                       8.43193
average_return                       8.4456
average_return                       8.44163
average_return                       8.47247
average_return                       8.46655
average_return                       8.46748
average_return                       8.48236
average_return                       8.48945
average_return                       8.49991
average_return                       8.50297
average_return                       8.50933
average_return                       8.51851
average_return                       8.54015
average_return                       8.55755
average_return                       8.55979
average_return                       8.55199
average_return                       8.59148
average_return                       8.61665
average_return                       8.63584
average_return                       8.61593
average_return                       8.68062
average_return                       8.67503
average_return                       8.73885
average_return                       8.756
average_return                       8.81434
average_return                       8.95494
average_return                       9.37156
average_return                      21.2341
average_return                      17.8786
average_return                      63.4144
average_return                      87.2168
average_return                      89.0163
average_return                      92.2979
average_return                      92.796
average_return                      93.2358
average_return                      94.8143
average_return                      94.9568
