epoch,sac/log_pi,sac/policy_loss,sac/qf1_loss,sac/qf2_loss,sac/alpha_loss,sac/alpha,sac/average_qf1,sac/average_qf2,sac/average_target_q,sac/total_steps,sac/cql/cql_std_q1,sac/cql/cql_std_q2,sac/cql/cql_q1_rand,sac/cql/cql_q2_rand,sac/cql/cql_min_qf1_loss,sac/cql/cql_min_qf2_loss,sac/cql/cql_qf1_diff,sac/cql/cql_qf2_diff,sac/cql/cql_q1_current_actions,sac/cql/cql_q2_current_actions,sac/cql/cql_q1_next_actions,sac/cql/cql_q2_next_actions,sac/cql/alpha_prime_loss,sac/cql/alpha_prime,average_return,average_traj_length,train_time,eval_time,epoch_time
27,0.9541401863098145,5867.5244140625,23059.99609375,22693.509765625,-4.653555870056152,131.2658233642578,-5651.3310546875,-5646.5576171875,-5698.107421875,28000,345.71875,286.4708557128906,-6307.12939453125,-6208.73681640625,407.42681884765625,278.58416748046875,81.48536682128906,55.716835021972656,-5711.4658203125,-5716.8056640625,-5714.95166015625,-5721.9501953125,0.0,0.0,83.95519,200.0,86.76658821105957,10.844214677810669,97.61080288887024
28,-0.47040170431137085,6537.16943359375,17412.912109375,16774.52734375,2.330813407897949,141.87448120117188,-6424.74951171875,-6413.806640625,-6483.080078125,29000,278.72064208984375,242.5691375732422,-6951.15966796875,-6857.8251953125,165.71234130859375,272.2814636230469,33.1424674987793,54.45629119873047,-6579.19921875,-6519.619140625,-6586.22216796875,-6520.7255859375,0.0,0.0,89.18992,200.0,86.61459279060364,10.845669984817505,97.46026277542114
29,0.5884567499160767,6878.3828125,27074.0078125,27696.94140625,-2.988743782043457,160.60569763183594,-6637.30908203125,-6622.1572265625,-6747.35302734375,30000,310.2060546875,208.633056640625,-7271.85498046875,-7006.6611328125,258.17230224609375,226.0824737548828,51.63446044921875,45.216495513916016,-6781.11572265625,-6700.3525390625,-6778.70458984375,-6694.62353515625,0.0,0.0,90.076744,200.0,86.76577115058899,10.700406312942505,97.4661774635315
30,0.9500811100006104,7117.97900390625,28209.681640625,26629.849609375,-4.8026604652404785,156.80465698242188,-6864.98193359375,-6836.66015625,-6893.3642578125,31000,413.18438720703125,354.385498046875,-7671.64404296875,-7528.52978515625,332.82958984375,343.1242370605469,66.56591796875,68.62484741210938,-6951.82763671875,-6913.17822265625,-6964.24951171875,-6926.70458984375,0.0,0.0,90.984085,200.0,88.10849666595459,11.255127191543579,99.36362385749817
31,-0.42567306756973267,8428.69140625,25725.390625,26100.421875,2.149517059326172,155.9740753173828,-8282.75390625,-8293.11328125,-8392.0478515625,32000,326.1763916015625,280.93963623046875,-8891.060546875,-8800.07421875,386.0867004394531,473.1247253417969,77.21733856201172,94.62494659423828,-8457.013671875,-8406.390625,-8465.916015625,-8412.7412109375,0.0,0.0,84.210526,200.0,88.24576568603516,10.495659351348877,98.74142503738403
32,0.7413325309753418,8899.91015625,36039.84375,36237.1484375,-3.960472583770752,209.00747680664062,-8532.71875,-8530.291015625,-8635.001953125,33000,434.29632568359375,366.8736877441406,-9411.9365234375,-9285.98046875,329.6571350097656,259.5751647949219,65.93142700195312,51.91503143310547,-8697.556640625,-8694.2958984375,-8698.9619140625,-8693.8974609375,0.0,0.0,93.076706,200.0,83.7240138053894,10.56524133682251,94.28925514221191
33,0.46344780921936035,8755.130859375,47869.65625,47412.6875,-2.4828457832336426,212.1590118408203,-8448.8916015625,-8482.10546875,-8556.439453125,34000,368.2909240722656,309.07574462890625,-9170.0927734375,-9072.4873046875,373.842529296875,475.68341064453125,74.76850891113281,95.13668060302734,-8609.806640625,-8615.0380859375,-8620.8388671875,-8625.25390625,0.0,0.0,92.298546,200.0,83.38725399971008,10.607300996780396,93.99455499649048
34,-0.678557276725769,9699.3720703125,23281.65234375,23167.609375,3.442669630050659,159.7345733642578,-9585.92578125,-9583.556640625,-9651.873046875,35000,277.9208679199219,212.65264892578125,-10097.486328125,-9952.244140625,185.17117309570312,280.5550537109375,37.03423309326172,56.11100769042969,-9777.1318359375,-9702.0927734375,-9792.4658203125,-9711.1953125,0.0,0.0,90.16361,200.0,82.86149215698242,10.83607792854309,93.69757008552551
35,-0.3271040618419647,9719.2685546875,25430.0,24555.5,1.6178632974624634,140.61428833007812,-9568.4599609375,-9565.71875,-9684.74609375,36000,305.697021484375,256.14154052734375,-10134.6298828125,-10023.6689453125,218.57452392578125,329.57147216796875,43.71490478515625,65.91429138183594,-9732.40625,-9668.3154296875,-9736.9482421875,-9672.8935546875,0.0,0.0,88.1317,200.0,88.07872748374939,11.543813943862915,99.6225414276123
36,-0.26387518644332886,10283.3408203125,31256.640625,32734.376953125,1.3377561569213867,159.1193389892578,-10113.341796875,-10109.2451171875,-10229.853515625,37000,414.4639892578125,359.5414123535156,-10867.5302734375,-10734.5390625,405.13348388671875,588.3656005859375,81.02669525146484,117.67312622070312,-10283.5029296875,-10213.3203125,-10295.330078125,-10222.078125,0.0,0.0,89.197754,200.0,90.63295817375183,11.824491739273071,102.4574499130249
