epoch,average_return
0,32.173588845523014
1,23.410727945403426
2,86.89959320834396
3,96.96835417583978
4,17.962643132633524
5,25.37334594938384
6,88.33761069314248
7,95.35477620658426
8,88.62992031881834
9,93.91376537123419
10,84.31081570858092
11,94.41576445018457
12,87.2694269333194
13,87.26984651188143
14,96.01051671717494
15,88.8560248958156
16,88.47660191720479
17,88.11560089988959
18,77.4258257442391
19,45.11393584294705
20,60.896478452893255
21,41.90856935485395
22,95.08200065692292
23,92.83754829923829
24,84.68778060524377
25,84.54409928301315
26,93.14912554109195
27,94.67318545251958
28,76.44732932047448
29,95.67927556660523
30,87.3522316390835
31,60.38685332331569
32,80.82550456060692
33,53.56306625596626
34,95.4037225255808
35,94.5128485857027
36,72.4730811759942
37,61.03721825029503
38,45.76169018285701
39,84.74321538712442
40,92.53592867315089
41,59.431342622365605
42,51.911660485186886
43,91.00410117770849
44,71.95416764637818
45,64.96066279575084
46,95.95127318996857
47,89.13861285577252
48,90.91373742574777
49,77.02359172290772
50,93.39896022791848
